fdc_id,description,food_category_id,nutrient_id,name,amount,unit_name
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1098,"Copper, Cu",0.091,MG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1100,"Iodine, I",0.0,UG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1101,"Manganese, Mn",0.089,MG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1103,"Selenium, Se",0.2,UG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1104,"Vitamin A, IU",5755.0,IU
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1110,"Vitamin D (D2 + D3), International Units",0.0,IU
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1109,Vitamin E (alpha-tocopherol),0.8,MG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1165,Thiamin,0.031,MG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1166,Riboflavin,0.078,MG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1167,Niacin,0.413,MG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1170,Pantothenic acid,0.201,MG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1178,Vitamin B-12,0.0,UG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1180,"Choline, total",6.2,MG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1186,Folic acid,0.0,UG
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1210,Tryptophan,0.009,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1211,Threonine,0.021,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1212,Isoleucine,0.023,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1213,Leucine,0.034,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1214,Lysine,0.039,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1215,Methionine,0.008,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1217,Phenylalanine,0.023,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1219,Valine,0.025,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1220,Arginine,0.039,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1221,Histidine,0.011,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1229,Cysteine and methionine(sulfer containig AA),0.0,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1272,PUFA 22:6 n-3 (DHA),0.0,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1278,PUFA 20:5 n-3 (EPA),0.0,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1316,"PUFA 18:2 n-6 c,c",0.0,G
168449,"Pumpkin, cooked, boiled, drained, without salt",11,1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G
168484,"Sweet potato, cooked, boiled, without skin",11,1003,Protein,1.37,G
168484,"Sweet potato, cooked, boiled, without skin",11,1004,Total lipid (fat),0.14,G
168484,"Sweet potato, cooked, boiled, without skin",11,1005,"Carbohydrate, by difference",17.72,G
168484,"Sweet potato, cooked, boiled, without skin",11,1008,Energy,76.0,KCAL
168484,"Sweet potato, cooked, boiled, without skin",11,1087,"Calcium, Ca",27.0,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1088,"Chlorine, Cl",0.0,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1089,"Iron, Fe",0.72,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1090,"Magnesium, Mg",18.0,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1091,"Phosphorus, P",32.0,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1092,"Potassium, K",230.0,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1093,"Sodium, Na",27.0,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1095,"Zinc, Zn",0.2,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1098,"Copper, Cu",0.094,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1100,"Iodine, I",0.0,UG
168484,"Sweet potato, cooked, boiled, without skin",11,1101,"Manganese, Mn",0.266,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1103,"Selenium, Se",0.2,UG
168484,"Sweet potato, cooked, boiled, without skin",11,1104,"Vitamin A, IU",15740.0,IU
168484,"Sweet potato, cooked, boiled, without skin",11,1110,"Vitamin D (D2 + D3), International Units",0.0,IU
168484,"Sweet potato, cooked, boiled, without skin",11,1109,Vitamin E (alpha-tocopherol),0.94,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1165,Thiamin,0.056,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1166,Riboflavin,0.047,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1167,Niacin,0.538,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1170,Pantothenic acid,0.581,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1178,Vitamin B-12,0.0,UG
168484,"Sweet potato, cooked, boiled, without skin",11,1180,"Choline, total",10.8,MG
168484,"Sweet potato, cooked, boiled, without skin",11,1186,Folic acid,0.0,UG
168484,"Sweet potato, cooked, boiled, without skin",11,1210,Tryptophan,0.028,G
168484,"Sweet potato, cooked, boiled, without skin",11,1211,Threonine,0.073,G
168484,"Sweet potato, cooked, boiled, without skin",11,1212,Isoleucine,0.048,G
168484,"Sweet potato, cooked, boiled, without skin",11,1213,Leucine,0.081,G
168484,"Sweet potato, cooked, boiled, without skin",11,1214,Lysine,0.058,G
168484,"Sweet potato, cooked, boiled, without skin",11,1215,Methionine,0.025,G
168484,"Sweet potato, cooked, boiled, without skin",11,1217,Phenylalanine,0.078,G
168484,"Sweet potato, cooked, boiled, without skin",11,1219,Valine,0.075,G
168484,"Sweet potato, cooked, boiled, without skin",11,1220,Arginine,0.048,G
