fdc_id,description,nutrient_id,name,amount,unit_name
167765,"Watermelon, raw",1004,Total lipid (fat),0.15,G
167765,"Watermelon, raw",1005,"Carbohydrate, by difference",7.55,G
167765,"Watermelon, raw",1008,Energy,30.0,KCAL
167765,"Watermelon, raw",1087,"Calcium, Ca",7.0,MG
167765,"Watermelon, raw",1088,"Chlorine, Cl",0.0,MG
167765,"Watermelon, raw",1089,"Iron, Fe",0.24,MG
167765,"Watermelon, raw",1090,"Magnesium, Mg",10.0,MG
167765,"Watermelon, raw",1091,"Phosphorus, P",11.0,MG
167765,"Watermelon, raw",1092,"Potassium, K",112.0,MG
167765,"Watermelon, raw",1093,"Sodium, Na",1.0,MG
167765,"Watermelon, raw",1095,"Zinc, Zn",0.1,MG
167765,"Watermelon, raw",1098,"Copper, Cu",0.042,MG
167765,"Watermelon, raw",1100,"Iodine, I",0.0,UG
167765,"Watermelon, raw",1101,"Manganese, Mn",0.038,MG
167765,"Watermelon, raw",1103,"Selenium, Se",0.4,UG
167765,"Watermelon, raw",1104,"Vitamin A, IU",569.0,IU
167765,"Watermelon, raw",1110,"Vitamin D (D2 + D3), International Units",0.0,IU
167765,"Watermelon, raw",1109,Vitamin E (alpha-tocopherol),0.05,MG
167765,"Watermelon, raw",1165,Thiamin,0.033,MG
167765,"Watermelon, raw",1166,Riboflavin,0.021,MG
167765,"Watermelon, raw",1167,Niacin,0.178,MG
167765,"Watermelon, raw",1170,Pantothenic acid,0.221,MG
167765,"Watermelon, raw",1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
167765,"Watermelon, raw",1178,Vitamin B-12,0.0,UG
167765,"Watermelon, raw",1180,"Choline, total",4.1,MG
167765,"Watermelon, raw",1186,Folic acid,0.0,UG
167765,"Watermelon, raw",1210,Tryptophan,0.007,G
167765,"Watermelon, raw",1211,Threonine,0.027,G
167765,"Watermelon, raw",1212,Isoleucine,0.019,G
167765,"Watermelon, raw",1213,Leucine,0.018,G
167765,"Watermelon, raw",1214,Lysine,0.062,G
167765,"Watermelon, raw",1215,Methionine,0.006,G
167765,"Watermelon, raw",1217,Phenylalanine,0.015,G
167765,"Watermelon, raw",1219,Valine,0.016,G
167765,"Watermelon, raw",1220,Arginine,0.059,G
167765,"Watermelon, raw",1221,Histidine,0.006,G
167765,"Watermelon, raw",1229,Cysteine and methionine(sulfer containig AA),0.0,G
167765,"Watermelon, raw",1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G
167765,"Watermelon, raw",1272,PUFA 22:6 n-3 (DHA),0.0,G
167765,"Watermelon, raw",1278,PUFA 20:5 n-3 (EPA),0.0,G
167765,"Watermelon, raw",1316,"PUFA 18:2 n-6 c,c",0.0,G
167765,"Watermelon, raw",1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G
168151,"Jujube, raw",1003,Protein,1.2,G
168151,"Jujube, raw",1004,Total lipid (fat),0.2,G
168151,"Jujube, raw",1005,"Carbohydrate, by difference",20.23,G
168151,"Jujube, raw",1008,Energy,79.0,KCAL
168151,"Jujube, raw",1087,"Calcium, Ca",21.0,MG
168151,"Jujube, raw",1088,"Chlorine, Cl",0.0,MG
168151,"Jujube, raw",1089,"Iron, Fe",0.48,MG
168151,"Jujube, raw",1090,"Magnesium, Mg",10.0,MG
168151,"Jujube, raw",1091,"Phosphorus, P",23.0,MG
168151,"Jujube, raw",1092,"Potassium, K",250.0,MG
168151,"Jujube, raw",1093,"Sodium, Na",3.0,MG
168151,"Jujube, raw",1095,"Zinc, Zn",0.05,MG
168151,"Jujube, raw",1098,"Copper, Cu",0.073,MG
168151,"Jujube, raw",1100,"Iodine, I",0.0,UG
168151,"Jujube, raw",1101,"Manganese, Mn",0.084,MG
168151,"Jujube, raw",1103,"Selenium, Se",0.0,UG
168151,"Jujube, raw",1104,"Vitamin A, IU",40.0,IU
168151,"Jujube, raw",1110,"Vitamin D (D2 + D3), International Units",0.0,IU
168151,"Jujube, raw",1109,Vitamin E (alpha-tocopherol),0.0,MG
168151,"Jujube, raw",1165,Thiamin,0.02,MG
168151,"Jujube, raw",1166,Riboflavin,0.04,MG
168151,"Jujube, raw",1167,Niacin,0.9,MG
168151,"Jujube, raw",1170,Pantothenic acid,0.0,MG
168151,"Jujube, raw",1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
168151,"Jujube, raw",1178,Vitamin B-12,0.0,UG
168151,"Jujube, raw",1180,"Choline, total",0.0,MG
168151,"Jujube, raw",1186,Folic acid,0.0,UG
168151,"Jujube, raw",1210,Tryptophan,0.0,G
168151,"Jujube, raw",1211,Threonine,0.0,G
168151,"Jujube, raw",1212,Isoleucine,0.0,G
168151,"Jujube, raw",1213,Leucine,0.0,G
168151,"Jujube, raw",1214,Lysine,0.0,G
168151,"Jujube, raw",1215,Methionine,0.0,G
168151,"Jujube, raw",1217,Phenylalanine,0.0,G
