ingredient_id,1003,1004,1005,1008,1079,1087,1088,1089,1090,1091,1092,1093,1095,1098,1100,1101,1103,1104,1109,1110,1165,1166,1167,1170,1175,1178,1180,1186,1210,1211,1212,1213,1214,1215,1216,1217,1218,1219,1220,1221,1269,1271,1272,1278,1404,fdc_id,description,food_category_id,food_group,food_subgroup,role_tags,risk_tags,diversity_tags,repeat_tags,chk_risk_high_copper_pass,chk_risk_high_copper_raw,chk_risk_high_copper_val,chk_risk_high_iodine_pass,chk_risk_high_iodine_raw,chk_risk_high_iodine_val,chk_risk_high_selenium_pass,chk_risk_high_selenium_raw,chk_risk_high_selenium_val,chk_risk_high_sodium_pass,chk_risk_high_sodium_raw,chk_risk_high_sodium_val,chk_risk_high_vit_a_pass,chk_risk_high_vit_a_raw,chk_risk_high_vit_a_val,chk_risk_high_vit_d_pass,chk_risk_high_vit_d_raw,chk_risk_high_vit_d_val,chk_role_calcium_source_pass,chk_role_calcium_source_ratio,chk_role_calcium_source_raw,chk_role_calcium_source_val,chk_role_choline_pass,chk_role_choline_raw,chk_role_choline_val,chk_role_fiber_source_pass,chk_role_fiber_source_raw,chk_role_fiber_source_val,chk_role_iron_pass,chk_role_iron_raw,chk_role_iron_val,chk_role_omega3_ala_pass,chk_role_omega3_ala_raw,chk_role_omega3_ala_val,chk_role_omega3_lc_pass,chk_role_omega3_lc_raw,chk_role_omega3_lc_val,chk_role_omega6_la_pass,chk_role_omega6_la_raw,chk_role_omega6_la_val,chk_role_thiamine_pass,chk_role_thiamine_raw,chk_role_thiamine_val,chk_role_vit_b12_pass,chk_role_vit_b12_raw,chk_role_vit_b12_val,chk_role_vit_d_pass,chk_role_vit_d_raw,chk_role_vit_d_val,chk_role_vita_pass,chk_role_vita_raw,chk_role_vita_val
91be149f-bf77-454b-b4d6-0c18b1ac7f81,0.74,0.33,14.49,57.0,2.4,6.0,0.0,0.28,6.0,12.0,77.0,1.0,0.16,0.057,0.0,0.336,0.1,54.0,0.57,0.0,0.037,0.041,0.418,0.124,0.052,0.0,6.0,0.0,0.003,0.02,0.023,0.044,0.013,0.012,0.008,0.026,0.009,0.031,0.037,0.011,0.088,0.0,0.0,0.0,0.0,171711,"Blueberries, raw",9,PLANT_ANTIOXIDANT,plant_blue,role_fiber_source,,div_plant_blue,repeat_color_blue,0,0.06,1.0,0,0.0,0.0,0,0.1,0.0,0,1.0,1.0,0,54.0,947.37,0,0.0,0.0,0,0.5,6.0,105.26,0,6.0,105.26,1,2.4,42.11,0,0.28,4.91,0,0.0,0.0,0,0.0,0.0,0,0.09,1543.86,0,0.04,0.65,0,0.0,0.0,0,0.0,0.0,0,54.0,947.37
9eb522a9-7f41-4267-9c8f-9d1151cff430,29.08,5.26,5.13,191.0,0.0,6.0,0.0,6.54,21.0,497.0,352.0,79.0,5.3,14.283,0.0,0.356,36.1,31714.0,0.51,49.0,0.194,3.425,17.525,7.11,1.017,70.58,426.0,0.0,0.368,1.215,1.352,2.67,2.247,0.759,0.526,1.515,1.128,1.761,1.735,0.879,0.0,0.397,0.0,0.0,0.017,168626,"Beef, variety meats and by-products, liver, cooked, braised",13,ORGAN,organ_liver,"role_choline,role_iron,role_vit_b12,role_vit_d,role_vita","risk_high_copper,risk_high_vit_a",div_protein_ruminant,repeat_beef,1,14.28,74.78,0,0.0,0.0,0,36.1,0.19,0,79.0,79.0,1,31714.0,166041.88,0,49.0,256.54,0,0.01,6.0,31.41,1,426.0,2230.37,0,0.0,0.0,1,6.54,34.24,0,0.02,89.01,0,0.0,0.0,0,0.0,0.0,0,0.19,1.02,1,70.58,369.53,1,49.0,256.54,1,31714.0,166041.88
c0f21b26-118d-4c08-b3f7-f517ee6eda18,23.98,0.28,0.2,99.0,0.0,70.0,0.0,0.51,39.0,237.0,259.0,111.0,1.64,0.379,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.007,0.015,0.015,0.001,175180,"Crustaceans, shrimp, cooked",15,PROTEIN_SHELLFISH,protein_shellfish,,,div_protein_shellfish,repeat_shellfish,0,0.38,3.83,0,0.0,0.0,0,0.0,0.0,0,111.0,111.0,0,0.0,0.0,0,0.0,0.0,0,0.3,70.0,707.07,0,0.0,0.0,0,0.0,0.0,0,0.51,5.15,0,0.0,10.1,0,0.03,303.03,0,0.02,181.82,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
d33d7be1-6220-4aee-92c6-b39f3d075835,27.27,4.65,0.0,158.0,0.0,19.0,0.0,5.8,12.0,304.0,135.0,94.0,2.84,0.564,0.0,0.185,168.0,0.0,0.08,45.0,0.16,2.97,3.92,1.56,0.391,24.9,513.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626,0.443,0.0,0.0,0.011,169450,"Beef, variety meats and by-products, kidneys, cooked, simmered",13,ORGAN,organ_secreting,"role_choline,role_iron,role_vit_b12,role_vit_d",risk_high_selenium,div_protein_ruminant,repeat_beef,0,0.56,3.57,0,0.0,0.0,1,168.0,1.06,0,94.0,94.0,0,0.0,0.0,0,45.0,284.81,0,0.06,19.0,120.25,1,513.2,3248.1,0,0.0,0.0,1,5.8,36.71,0,0.01,69.62,0,0.0,0.0,0,0.63,3962.03,0,0.16,1.01,1,24.9,157.59,1,45.0,284.81,0,0.0,0.0
dbdcd936-f310-4fdd-860a-6d151ce66222,0.0,100.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7,0.0,0.0,0.0,0.0,171025,"Oil, sunflower, linoleic, (approx. 65%)",4,FAT_OIL,oil_omega6_la,role_omega6_la,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,0,0.2,0.23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,65.7,74321.27,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
e56fee29-4cea-410d-a32f-389a93fb803b,12.58,10.61,1.12,155.0,0.0,50.0,0.0,1.19,10.0,172.0,126.0,124.0,1.05,0.013,0.0,0.026,30.8,520.0,1.03,87.0,0.066,0.513,0.064,1.398,0.121,1.11,293.8,0.0,0.153,0.604,0.686,1.075,0.904,0.392,0.292,0.668,0.513,0.767,0.755,0.298,1.188,0.149,0.038,0.005,0.0,173424,"Egg, whole, cooked, hard-boiled",1,PROTEIN_EGG,egg,"role_choline,role_vit_d",,div_protein_poultry,repeat_egg,0,0.01,0.08,0,0.0,0.0,0,30.8,0.2,0,124.0,124.0,0,520.0,3354.84,0,87.0,561.29,0,0.29,50.0,322.58,1,293.8,1895.48,0,0.0,0.0,0,1.19,7.68,0,0.0,0.0,0,0.04,277.42,0,1.19,7664.52,0,0.07,0.43,0,1.11,7.16,1,87.0,561.29,0,520.0,3354.84
f22334e9-45c0-437a-a57c-c1ccf409697e,18.9,4.6,9.9,163.0,0.0,16.0,0.0,9.2,44.0,243.0,302.0,212.0,33.24,2.679,0.0,1.222,154.0,487.0,0.85,0.0,0.127,0.443,3.618,0.9,0.09,28.8,0.0,0.0,0.212,0.813,0.823,1.331,1.412,0.426,0.248,0.677,0.605,0.826,1.379,0.363,0.064,0.076,0.5,0.876,0.0,174250,"Mollusks, oyster, Pacific, cooked, moist heat",15,MINERAL_SHELLFISH,mineral_shellfish,"role_iron,role_omega3_lc,role_vit_b12","risk_high_copper,risk_high_selenium",div_protein_shellfish,repeat_shellfish,1,2.68,16.44,0,0.0,0.0,1,154.0,0.94,0,212.0,212.0,0,487.0,2987.73,0,0.0,0.0,0,0.07,16.0,98.16,0,0.0,0.0,0,0.0,0.0,1,9.2,56.44,0,0.0,0.0,1,1.38,8441.72,0,0.06,392.64,0,0.13,0.78,1,28.8,176.69,0,0.0,0.0,0,487.0,2987.73
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,26.69,20.04,0.58,289.0,0.0,20.0,0.0,1.1,23.0,226.0,354.0,89.0,2.57,0.04,0.0,0.013,42.4,0.0,0.31,20.0,0.421,0.486,9.286,0.915,0.613,1.02,89.7,0.0,0.344,1.132,1.22,2.129,2.296,0.713,0.308,1.136,1.13,1.343,1.741,1.055,2.214,0.093,0.006,0.005,0.118,169192,"Pork, ground, 84% lean / 16% fat, cooked, crumbles",10,PROTEIN_MEAT,meat_fat,role_omega6_la,,div_protein_pork,repeat_pork,0,0.04,0.14,0,0.0,0.0,0,42.4,0.15,0,89.0,89.0,0,0.0,0.0,0,20.0,69.2,0,0.09,20.0,69.2,0,89.7,310.38,0,0.0,0.0,0,1.1,3.81,0,0.12,408.3,0,0.01,38.06,1,2.21,7660.9,0,0.42,1.46,0,1.02,3.53,0,20.0,69.2,0,0.0,0.0
fb2cdf5e-f839-4291-8b9b-705d580230f8,0.0,100.0,0.0,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935,0.935,10.968,6.898,0.0,173577,"Fish oil, cod liver",4,FAT_OIL,oil_omega3_lc,"role_omega3_lc,role_vit_d,role_vita","risk_high_vit_a,risk_high_vit_d",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,100000.0,110864.75,1,10000.0,11086.47,0,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,17.87,19807.1,0,0.94,1036.59,0,0.0,0.0,0,0.0,0.0,1,10000.0,11086.47,1,100000.0,110864.75
fce20ffe-2ffa-4ca7-80c3-95d350c276b1,22.83,0.86,0.0,105.0,0.0,14.0,0.0,0.49,42.0,138.0,244.0,78.0,0.58,0.036,0.0,0.02,37.6,47.0,0.81,46.0,0.088,0.079,2.513,0.18,0.283,1.05,83.7,0.0,0.256,1.001,1.052,1.856,2.097,0.676,0.245,0.891,0.771,1.176,1.366,0.672,0.006,0.028,0.154,0.004,0.0,171956,"Fish, cod, Atlantic, cooked, dry heat",15,PROTEIN_FISH,fish_lean,"role_choline,role_vit_b12,role_vit_d",risk_high_iodine,div_protein_fish,repeat_fish,0,0.04,0.34,1,0.0,0.0,0,37.6,0.36,0,78.0,78.0,0,47.0,447.62,0,46.0,438.1,0,0.1,14.0,133.33,1,83.7,797.14,0,0.0,0.0,0,0.49,4.67,0,0.0,0.0,0,0.16,1504.76,0,0.01,57.14,0,0.09,0.84,1,1.05,10.0,1,46.0,438.1,0,47.0,447.62
