ingredient_id,nutrient_id,amount,fdc_id,data_source,created_at
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1008,884.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1005,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1079,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1003,0.11,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1220,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1221,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1212,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1213,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1214,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1215,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1216,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1217,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1218,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1211,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1210,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1219,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1004,99.98,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1269,14.327,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1404,53.368,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1271,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1272,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1278,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1087,1.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1091,1.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1092,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1093,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1088,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1090,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1089,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1098,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1101,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1095,0.07,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1100,0.0,,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1103,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1104,0.0,167702.0,usda,2026-02-04T04:40:40.267768
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,1110,0.0,167702.0,usda,2026-02-04T04:40:40.267768
