ingredient_id,nutrient_id,amount,data_source,create_at
168463,1218,0.113,built_in,
168463,1219,0.168,built_in,
168463,1220,0.168,built_in,
168463,1221,0.066,built_in,
168463,1269,0.017,built_in,
168463,1270,0.092,built_in,
168463,1272,0,built_in,
168463,1278,0,built_in,
168463,1316,0,built_in,
168463,1404,0,built_in,
168484,1003,1.37,built_in,
168484,1004,0.14,built_in,
168484,1005,17.72,built_in,
168484,1008,76,built_in,
168484,1051,80.13,built_in,
168484,1079,2.5,built_in,
168484,1087,27,built_in,
168484,1088,0,built_in,
168484,1089,0.72,built_in,
168484,1090,18,built_in,
168484,1091,32,built_in,
168484,1092,230,built_in,
168484,1093,27,built_in,
168484,1095,0.2,built_in,
168484,1098,0.094,built_in,
168484,1100,0,built_in,
168484,1101,0.266,built_in,
168484,1103,0.2,built_in,
168484,1104,15740,built_in,
168484,1110,0,built_in,
168484,1109,0.94,built_in,
168484,1165,0.056,built_in,
168484,1166,0.047,built_in,
168484,1167,0.538,built_in,
168484,1170,0.581,built_in,
168484,1171,0,built_in,
168484,1178,0,built_in,
168484,1180,10.8,built_in,
168484,1186,0,built_in,
168484,1210,0.028,built_in,
168484,1211,0.073,built_in,
168484,1212,0.048,built_in,
168484,1213,0.081,built_in,
168484,1214,0.058,built_in,
168484,1215,0.025,built_in,
168484,1216,0.019,built_in,
168484,1217,0.078,built_in,
168484,1218,0.03,built_in,
168484,1219,0.075,built_in,
168484,1220,0.048,built_in,
168484,1221,0.027,built_in,
168484,1269,0.061,built_in,
168484,1270,0,built_in,
168484,1272,0,built_in,
168484,1278,0,built_in,
168484,1316,0,built_in,
168484,1404,0,built_in,
168484,1003,1.37,built_in,
168484,1004,0.14,built_in,
168484,1005,17.72,built_in,
168484,1008,76,built_in,
168484,1051,80.13,built_in,
168484,1079,2.5,built_in,
168484,1087,27,built_in,
168484,1088,0,built_in,
168484,1089,0.72,built_in,
168484,1090,18,built_in,
168484,1091,32,built_in,
168484,1092,230,built_in,
168484,1093,27,built_in,
168484,1095,0.2,built_in,
168484,1098,0.094,built_in,
168484,1100,0,built_in,
168484,1101,0.266,built_in,
168484,1103,0.2,built_in,
168484,1104,15740,built_in,
168484,1110,0,built_in,
168484,1109,0.94,built_in,
168484,1165,0.056,built_in,
168484,1166,0.047,built_in,
168484,1167,0.538,built_in,
168484,1170,0.581,built_in,
168484,1171,0,built_in,
168484,1178,0,built_in,
168484,1180,10.8,built_in,
168484,1186,0,built_in,
168484,1210,0.028,built_in,
168484,1211,0.073,built_in,
168484,1212,0.048,built_in,
168484,1213,0.081,built_in,
168484,1214,0.058,built_in,
168484,1215,0.025,built_in,
168484,1216,0.019,built_in,
168484,1217,0.078,built_in,
168484,1218,0.03,built_in,
168484,1219,0.075,built_in,
168484,1220,0.048,built_in,
168484,1221,0.027,built_in,
168484,1269,0.061,built_in,
168484,1270,0,built_in,
168484,1272,0,built_in,
168484,1278,0,built_in,
168484,1316,0,built_in,
168484,1404,0,built_in,
168568,1003,0.64,built_in,
168568,1004,0.13,built_in,
168568,1005,8.24,built_in,
168568,1008,35,built_in,
168568,1051,90.35,built_in,
168568,1079,2.9,built_in,
168568,1087,32,built_in,
168568,1088,0,built_in,
168568,1089,0.89,built_in,
168568,1090,10,built_in,
168568,1091,28,built_in,
168568,1092,237,built_in,
168568,1093,78,built_in,
168568,1095,0.17,built_in,
168568,1098,0.1,built_in,
168568,1100,0,built_in,
168568,1101,0.151,built_in,
168568,1103,0.9,built_in,
168568,1104,13790,built_in,
168568,1110,0,built_in,
168568,1109,0,built_in,
168568,1165,0.03,built_in,
168568,1166,0.036,built_in,
168568,1167,0.556,built_in,
168568,1170,0.401,built_in,
168568,1171,0,built_in,
168568,1178,0,built_in,
168568,1180,7.5,built_in,
168568,1186,0,built_in,
168568,1210,0.009,built_in,
168568,1211,0.031,built_in,
168568,1212,0.034,built_in,
168568,1213,0.035,built_in,
168568,1214,0.033,built_in,
168568,1215,0.006,built_in,
168568,1216,0.007,built_in,
168568,1217,0.026,built_in,
168568,1218,0.016,built_in,
168568,1219,0.036,built_in,
168568,1220,0.035,built_in,
168568,1221,0.013,built_in,
168568,1269,0.057,built_in,
168568,1270,0.008,built_in,
168568,1272,0,built_in,
168568,1278,0,built_in,
168568,1316,0,built_in,
168568,1404,0,built_in,
168626,1003,29.08,built_in,
168626,1004,5.26,built_in,
168626,1005,5.13,built_in,
168626,1008,191,built_in,
168626,1051,58.81,built_in,
168626,1079,0,built_in,
168626,1087,6,built_in,
168626,1088,0,built_in,
168626,1089,6.54,built_in,
168626,1090,21,built_in,
168626,1091,497,built_in,
168626,1092,352,built_in,
168626,1093,79,built_in,
168626,1095,5.3,built_in,
168626,1098,14.283,built_in,
168626,1100,0,built_in,
168626,1101,0.356,built_in,
168626,1103,36.1,built_in,
168626,1104,31714,built_in,
168626,1110,49,built_in,
168626,1109,0.51,built_in,
168626,1165,0.194,built_in,
168626,1166,3.425,built_in,
168626,1167,17.525,built_in,
168626,1170,7.11,built_in,
168626,1171,0,built_in,
168626,1178,70.58,built_in,
168626,1180,426,built_in,
168626,1186,0,built_in,
168626,1210,0.368,built_in,
168626,1211,1.215,built_in,
168626,1212,1.352,built_in,
168626,1213,2.67,built_in,
168626,1214,2.247,built_in,
168626,1215,0.759,built_in,
168626,1216,0.526,built_in,
168626,1217,1.515,built_in,
168626,1218,1.128,built_in,
168626,1219,1.761,built_in,
168626,1220,1.735,built_in,
168626,1221,0.879,built_in,
168626,1269,0,built_in,
168626,1270,0,built_in,
168626,1272,0,built_in,
168626,1278,0,built_in,
168626,1316,0.659,built_in,
168626,1404,0.017,built_in,
168873,1003,3.21,built_in,
168873,1004,0.86,built_in,
168873,1005,11.44,built_in,
168873,1008,40,built_in,
168873,1051,84,built_in,
168873,1079,2.6,built_in,
168873,1087,10,built_in,
168873,1088,0,built_in,
168873,1089,0.88,built_in,
