nutrition_id,min,max
1003,72.499725,
1220,2.0622144000000002,
1221,0.7733304,
1212,1.53054975,
1213,2.7388784999999998,
1214,2.5455459,
1215,1.3372171499999999,
1216,2.6261011499999998,
1217,1.8205486499999999,
1218,2.9805442500000003,
1211,1.9333259999999999,
1210,0.6444420000000001,
1219,1.98165915,
1004,22.233249,
1087,2013.88125,
1091,1611.105,6444.42
CA_P_RATIO,1.0,2.0
1088,0.48333149999999997,
1092,2416.6575,
1093,322.221,
1090,241.66575,
1104,2013.88125,100694.0625
1110,201.388125,1208.32875
1109,20.1388125,1611.105
1165,0.9022188000000001,
1167,5.4777569999999995,
1175,0.6122199,
1186,86.99967,
1180,547.7757,
1178,11.277735,
1166,2.0944365,
1170,4.833315,
1269,4.511094,
1404,,
1278,,
1272,,
EPA_DHA_SUM,,
N6_N3_RATIO,,30.0
