ingredient_id,1003,1004,1005,1008,1079,1087,1088,1089,1090,1091,1092,1093,1095,1098,1100,1101,1103,1104,1109,1110,1165,1166,1167,1170,1175,1178,1180,1186,1210,1211,1212,1213,1214,1215,1216,1217,1218,1219,1220,1221,1269,1271,1272,1278,1404
08e56ae5-641e-40ed-84f7-57422f35e56c,0.0,100.0,0.0,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935,0.935,10.968,6.898,0.0
25e4126c-ad5d-4a31-8f6e-d13ff69636d0,29.08,5.26,5.13,191.0,0.0,6.0,0.0,6.54,21.0,497.0,352.0,79.0,5.3,14.283,0.0,0.356,36.1,31714.0,0.7611940298507462,49.0,0.194,3.425,17.525,7.11,1.017,70.58,426.0,0.0,0.368,1.215,1.352,2.67,2.247,0.759,0.526,1.515,1.128,1.761,1.735,0.879,0.0,0.397,0.0,0.0,0.017
577773f9-943f-492c-b652-0319d1c78375,2.74,0.97,25.58,123.0,1.6,3.0,0.0,0.56,39.0,103.0,86.0,4.0,0.71,0.106,0.0,0.974,5.8,0.0,0.2537313432835821,0.0,0.178,0.069,2.561,0.38,0.123,0.0,9.2,0.0,0.033,0.095,0.109,0.214,0.099,0.058,0.031,0.133,0.097,0.151,0.196,0.066,0.355,0.0,0.0,0.0,0.011
6198532f-8ebb-43f2-895d-f4a56cde10d8,2.71,0.72,5.65,33.0,4.0,141.0,0.0,1.13,21.0,32.0,117.0,15.0,0.23,0.051,0.0,0.51,0.5,7600.0,1.3134328358208953,0.0,0.04,0.106,0.575,0.218,0.128,0.0,38.4,0.0,0.027,0.074,0.086,0.13,0.101,0.028,0.022,0.075,0.056,0.104,0.108,0.04,0.07,0.002,0.0,0.0,0.0
61abe6ff-3f77-437b-b481-fa90bbe8ac9d,27.27,4.65,0.0,158.0,0.0,19.0,0.0,5.8,12.0,304.0,135.0,94.0,2.84,0.564,0.0,0.185,168.0,0.0,0.11940298507462686,45.0,0.16,2.97,3.92,1.56,0.391,24.9,513.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626,0.443,0.0,0.0,0.011
759605da-7cd2-4c37-9cf0-6d8d80d68095,26.29,6.8,0.0,174.0,0.0,7.0,0.0,2.83,22.0,206.0,347.0,65.0,6.43,0.096,0.0,0.014,21.5,9.0,0.1791044776119403,2.0,0.042,0.176,5.939,0.658,0.412,2.47,85.4,0.0,0.133,1.017,1.162,2.049,2.176,0.676,0.271,1.025,0.808,1.291,1.71,0.854,0.228,0.045,0.0,0.0,0.042
881cdf31-e253-4160-93c3-c26df26f7867,22.83,0.86,0.0,105.0,0.0,14.0,0.0,0.49,42.0,138.0,244.0,78.0,0.58,0.036,0.0,0.02,37.6,47.0,1.208955223880597,46.0,0.088,0.079,2.513,0.18,0.283,1.05,83.7,0.0,0.256,1.001,1.052,1.856,2.097,0.676,0.245,0.891,0.771,1.176,1.366,0.672,0.006,0.028,0.154,0.004,0.0
94d4e033-ea74-48af-a74a-ccc864a6bd60,23.98,0.28,0.2,99.0,0.0,70.0,0.0,0.51,39.0,237.0,259.0,111.0,1.64,0.379,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.007,0.015,0.015,0.001
9fd3b784-4ff1-40ee-bc68-09308bb97eca,5.0,0.0,22.0,0.0,0.0,40000.0,0.0,0.0,400.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a008cd52-06ee-4962-8dd3-45ea5d2ab397,0.64,0.13,8.24,35.0,2.9,32.0,0.0,0.89,10.0,28.0,237.0,78.0,0.17,0.1,0.0,0.151,0.9,13790.0,0.0,0.0,0.03,0.036,0.556,0.401,0.105,0.0,7.5,0.0,0.009,0.031,0.034,0.035,0.033,0.006,0.007,0.026,0.016,0.036,0.035,0.013,0.057,0.0,0.0,0.0,0.0
a067fdf6-6e3a-4bee-860e-533c51733a20,26.69,20.04,0.58,289.0,0.0,20.0,0.0,1.1,23.0,226.0,354.0,89.0,2.57,0.04,0.0,0.013,42.4,0.0,0.46268656716417905,20.0,0.421,0.486,9.286,0.915,0.613,1.02,89.7,0.0,0.344,1.132,1.22,2.129,2.296,0.713,0.308,1.136,1.13,1.343,1.741,1.055,2.214,0.093,0.006,0.005,0.118
a93b56bc-9728-486b-996e-dadc7f6500e8,24.46,6.51,0.87,167.0,0.0,11.0,0.0,11.63,25.0,405.0,263.0,76.0,3.98,0.496,0.0,0.359,82.4,13328.0,1.2238805970149251,0.0,0.291,1.993,11.045,6.668,0.755,16.85,290.0,0.0,0.248,1.021,1.144,2.128,1.875,0.608,0.383,1.16,0.919,1.405,1.539,0.714,0.719,0.508,0.0,0.0,0.012
a9b880cb-873a-4958-9fd4-07ce4c9c80e3,0.0,0.0,0.42,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,38700.0,0.0,0.0,5080.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abd45421-3d76-4197-b82b-2ed3d6e47bef,22.1,12.35,0.0,206.0,0.0,15.0,0.0,0.34,30.0,252.0,384.0,61.0,0.43,0.049,0.0,0.016,41.4,230.0,1.7014925373134326,526.0,0.34,0.135,8.045,1.475,0.647,2.8,90.5,0.0,0.248,0.969,1.018,1.796,2.03,0.654,0.237,0.863,0.746,1.139,1.322,0.651,0.666,1.273,1.457,0.69,0.0
ba995d24-9d0f-4397-a494-4a128c9c2589,0.74,0.33,14.49,57.0,2.4,6.0,0.0,0.28,6.0,12.0,77.0,1.0,0.16,0.057,0.0,0.336,0.1,54.0,0.8507462686567163,0.0,0.037,0.041,0.418,0.124,0.052,0.0,6.0,0.0,0.003,0.02,0.023,0.044,0.013,0.012,0.008,0.026,0.009,0.031,0.037,0.011,0.088,0.0,0.0,0.0,0.0
